Rk,Lineup,Lineup_2,Lineup_3,Lineup_4,Lineup_5,Tm,Season,G,MP,TM,OPP,Pace,FG,FGA,FG%,3P,3PA,3P%,EFG%,FT,FTA,FT%,PTS%
1,M. Barnes,B. Griffin,D. Jordan,C. Paul,J. Redick,LAC,2014-15,60,1213.6,2397,2395,94.8,156,31,0.066,61,66,0.058,0.079,78,153,-0.056,451
2,H. Barnes,A. Bogut,S. Curry,D. Green,K. Thompson,GSW,2014-15,58,810.5,1668,1664,98.7,127,24,0.078,135,260,0.07,0.122,-60,-82,0.014,329
3,K. Irving,L. James,K. Love,T. Mozgov,J. Smith,CLE,2014-15,33,479.2,960,955,95.9,51,-8,0.064,50,121,0.018,0.093,51,58,0.05,203
4,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague,ATL,2014-15,57,913.6,1816,1793,94.8,44,-25,0.035,58,50,0.088,0.054,23,10,0.043,169
5,D. Collison,D. Cousins,R. Gay,B. McLemore,J. Thompson,SAC,2014-15,30,425.6,852,850,96,53,13,0.064,1,-49,0.11,0.064,34,32,0.053,141
6,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,POR,2014-15,32,628.4,1223,1234,93.8,21,-17,0.025,33,75,0.028,0.041,59,47,0.085,134
7,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,SAS,2014-15,29,265,520,527,94.8,47,-15,0.114,3,-12,0.091,0.118,13,10,0.053,110
8,A. Bogut,S. Curry,D. Green,A. Iguodala,K. Thompson,GSW,2014-15,50,180.1,373,375,99.7,35,32,0.062,34,58,0.122,0.109,-4,-11,0.058,100
9,S. Curry,D. Green,A. Iguodala,M. Speights,K. Thompson,GSW,2014-15,43,126.4,273,257,100.6,25,11,0.083,17,35,0.081,0.117,17,18,0.051,84
10,T. Hansbrough,J. Johnson,P. Patterson,G. Vázquez,L. Williams,TOR,2014-15,39,227.9,429,429,90.3,24,16,0.044,14,34,0.017,0.06,15,8,0.079,77
11,H. Barnes,S. Curry,D. Green,M. Speights,K. Thompson,GSW,2014-15,35,200.5,427,434,103,34,27,0.055,24,22,0.137,0.083,-17,-28,0.063,75
12,T. Ariza,P. Beverley,J. Harden,D. Howard,D. Motiejunas,HOU,2014-15,25,360.1,713,718,95.4,15,-13,0.034,38,68,0.068,0.067,7,27,-0.084,75
13,S. Adams,K. Durant,S. Ibaka,A. Roberson,R. Westbrook,OKC,2014-15,23,248.5,492,494,95.2,21,10,0.038,-4,-2,-0.03,0.032,35,40,0.027,73
14,K. Irving,L. James,K. Love,S. Marion,T. Thompson,CLE,2014-15,26,110.6,216,214,93.3,17,19,0.041,6,-2,0.145,0.053,29,30,0.097,69
15,A. Horford,K. Korver,D. Schröder,M. Scott,T. Sefolosha,ATL,2014-15,23,78,150,147,91.4,25,5,0.168,14,-2,0.294,0.217,2,0,0.077,66
16,B. Beal,M. Gortat,N. HilÃ¡rio,P. Pierce,J. Wall,WAS,2014-15,40,594.8,1172,1168,94.4,43,1,0.042,-9,-47,0.035,0.037,-13,0,-0.057,64
17,B. Diaw,T. Duncan,D. Green,K. Leonard,T. Parker,SAS,2014-15,44,263.6,510,508,92.7,12,-19,0.045,10,3,0.084,0.058,28,32,0.034,62
18,P. Anti?,K. Korver,P. Millsap,T. Sefolosha,J. Teague,ATL,2014-15,15,64.1,135,123,96.5,19,18,0.095,4,12,-0.011,0.105,17,19,0.119,59
19,G. Antetokounmpo,M. Carter-Williams,E. Ilyasova,K. Middleton,Z. Pachulia,MIL,2014-15,24,343.2,676,680,94.8,33,45,0.021,-18,-71,0.078,0.001,10,7,0.032,58
20,T. Chandler,M. Ellis,J. Nelson,D. Nowitzki,C. Parsons,DAL,2014-15,21,253.8,500,498,94.4,10,9,0.012,0,17,-0.049,0.011,36,30,0.149,56
21,T. Allen,M. Conley,M. Gasol,C. Lee,Z. Randolph,MEM,2014-15,43,459.2,882,888,92.5,4,-39,0.03,-33,-98,0.061,0.011,79,82,0.074,54
22,V. Carter,M. Conley,M. Gasol,C. Lee,Z. Randolph,MEM,2014-15,18,68.4,141,121,91.9,20,23,0.092,1,-6,0.105,0.086,11,10,0.173,52
23,M. Barnes,J. Crawford,B. Griffin,D. Jordan,C. Paul,LAC,2014-15,44,224.7,433,441,93.3,17,-3,0.048,-6,-29,0.039,0.041,24,35,-0.007,52
24,J. Crawford,B. Griffin,D. Jordan,C. Paul,J. Redick,LAC,2014-15,44,243.4,477,473,93.7,0,-15,0.018,3,0,0.026,0.024,48,50,0.057,51
25,E. Bledsoe,G. Dragi?,A. Len,M. Morris,P. Tucker,PHO,2014-15,35,391.2,782,782,95.9,34,-17,0.06,-15,-25,-0.038,0.05,-2,-18,0.076,51
26,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver,DET,2014-15,18,172.1,320,316,88.7,19,12,0.043,28,46,0.086,0.088,-15,-12,-0.113,51
27,T. Burke,D. Favors,R. Gobert,G. Hayward,J. Ingles,UTA,2014-15,26,127,254,241,93.5,26,-2,0.131,-3,-6,-0.022,0.124,1,4,-0.033,50
28,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague,ATL,2014-15,6,54.2,109,110,97,22,9,0.184,6,0,0.2,0.21,0,0,0,50
29,A. Ajinça,D. Cunningham,A. Davis,T. Evans,E. Gordon,NOP,2014-15,20,209.6,393,389,89.6,18,8,0.04,-1,-28,0.151,0.038,13,18,-0.004,48
30,W. Chandler,K. Faried,R. Foye,D. Gallinari,T. Lawson,DEN,2014-15,16,266.5,538,535,96.6,4,21,-0.014,20,35,0.036,0.005,20,13,0.088,48
31,M. Barnes,S. Hawes,D. Jordan,C. Paul,J. Redick,LAC,2014-15,17,197.9,383,390,93.8,28,4,0.076,18,25,0.071,0.101,-27,-30,-0.058,47
32,B. Beal,N. HilÃ¡rio,P. Pierce,K. Séraphin,J. Wall,WAS,2014-15,11,29.9,63,59,98.1,20,9,0.334,1,-8,0.278,0.335,4,2,0.12,45
33,M. Gortat,N. HilÃ¡rio,P. Pierce,G. Temple,J. Wall,WAS,2014-15,20,241.5,481,472,94.7,8,-8,0.028,-14,-27,-0.046,0.012,42,49,0.094,44
34,T. Allen,M. Conley,M. Gasol,J. Green,Z. Randolph,MEM,2014-15,22,108.5,197,198,87.4,16,-12,0.124,-7,-33,0.2,0.107,19,24,0.011,44
35,C. Brewer,J. Harden,T. Jones,J. Smith,J. Terry,HOU,2014-15,21,76.8,168,163,103.5,9,-18,0.113,8,-1,0.17,0.145,18,17,0.144,44
36,G. Henderson,A. Jefferson,M. Kidd-Gilchrist,M. Williams,M. Williams,CHO,2014-15,12,116.9,229,225,93.2,25,10,0.104,-5,-11,-0.018,0.089,-1,1,-0.036,44
37,A. Aminu,T. Chandler,M. Ellis,D. Harris,C. Parsons,DAL,2014-15,26,76.9,164,162,101.8,13,9,0.064,8,18,0.025,0.089,8,11,0.009,42
38,R. Butler,M. Gortat,K. Humphries,O. Porter,J. Wall,WAS,2014-15,17,40.4,85,82,99.3,18,7,0.188,0,-4,0.063,0.186,6,9,-0.014,42
39,G. Antetokounmpo,J. Dudley,B. Knight,K. Middleton,Z. Pachulia,MIL,2014-15,16,68.7,137,132,94,15,5,0.114,5,-2,0.185,0.134,6,10,-0.083,41
40,H. Barnes,S. Curry,D. Green,A. Iguodala,K. Thompson,GSW,2014-15,37,102,225,236,108.5,8,-27,0.1,10,-2,0.143,0.133,13,15,0.019,39
41,H. Barnes,A. Bogut,S. Curry,A. Iguodala,K. Thompson,GSW,2014-15,14,38.9,84,79,100.7,14,4,0.17,5,2,0.214,0.201,6,6,0.034,39
42,A. Brooks,J. Butler,P. Gasol,J. Noah,D. Rose,CHI,2014-15,10,53.6,115,110,100.7,12,9,0.087,6,11,0.099,0.115,9,12,-0.043,39
43,B. Bass,K. Olynyk,M. Smart,M. Thornton,E. Turner,BOS,2014-15,11,42,86,88,99.4,18,15,0.16,5,7,0.142,0.186,-3,-10,0.183,38
44,A. Aminu,J. Barea,D. Harris,D. Nowitzki,B. Wright,DAL,2014-15,16,77.2,147,147,91.4,23,16,0.109,-7,-4,-0.144,0.078,-1,-9,0.185,38
45,B. Biyombo,G. Henderson,M. Kidd-Gilchrist,K. Walker,M. Williams,CHO,2014-15,14,57,113,107,92.6,15,5,0.13,1,-14,0.245,0.133,7,17,-0.178,38
46,R. Hibbert,G. Hill,C. Miles,R. Stuckey,D. West,IND,2014-15,22,122,241,237,94,15,-10,0.092,2,-5,0.08,0.098,6,5,0.035,38
47,T. Booker,T. Burke,D. Favors,R. Hood,E. Millsap,UTA,2014-15,9,32.1,60,59,89.1,15,13,0.208,8,11,0.329,0.277,0,-4,0.188,38
48,M. Conley,M. Gasol,C. Lee,Q. Pondexter,Z. Randolph,MEM,2014-15,10,44.1,89,84,94.2,14,-2,0.194,0,-7,0.19,0.196,9,8,0.136,37
49,A. Ajinça,A. Davis,T. Evans,E. Gordon,Q. Pondexter,NOP,2014-15,25,345.6,652,655,90.8,13,-3,0.025,21,18,0.102,0.043,-10,8,-0.119,37
50,A. Brooks,M. Dunleavy,P. Gasol,N. Mirotic,T. Snell,CHI,2014-15,15,66.2,131,122,91.7,13,-3,0.123,4,0,0.098,0.142,7,2,0.195,37
51,E. Bledsoe,G. Dragi?,A. Len,M. Morris,I. Thomas,PHO,2014-15,10,32.3,74,72,108.5,14,6,0.185,0,0,0,0.181,8,9,0.056,36
52,J. Butler,M. Dunleavy,P. Gasol,K. Hinrich,N. Mirotic,CHI,2014-15,14,47.1,91,94,94.3,8,-4,0.122,8,6,0.33,0.174,12,14,0.038,36
53,L. Aldridge,S. Blake,D. Lillard,W. Matthews,D. Wright,POR,2014-15,6,16.7,34,29,90.4,7,10,0.073,9,14,0.5,0.189,13,12,0.5,36
54,A. Ajinça,A. Davis,T. Evans,E. Gordon,J. Holiday,NOP,2014-15,13,171.4,327,335,92.7,21,25,0.032,4,3,0.056,0.036,-11,-7,-0.069,35
55,A. Brooks,J. Butler,P. Gasol,N. Mirotic,T. Snell,CHI,2014-15,8,27.1,54,52,94,12,0,0.25,4,-2,0.33,0.292,7,8,-0.007,35
56,J. Barea,T. Chandler,M. Ellis,D. Nowitzki,C. Parsons,DAL,2014-15,14,68.9,141,127,93.4,11,10,0.051,1,-4,0.066,0.051,12,13,0.032,35
57,P. Anti?,D. Carroll,K. Korver,P. Millsap,J. Teague,ATL,2014-15,29,119.7,252,243,99.2,8,25,-0.018,6,21,-0.034,-0.012,12,23,-0.062,34
58,L. Barbosa,H. Barnes,A. Bogut,S. Curry,D. Green,GSW,2014-15,7,31,68,63,101.4,13,5,0.19,7,7,0.215,0.246,1,2,-0.1,34
59,M. Barnes,J. Crawford,D. Jordan,C. Paul,J. Redick,LAC,2014-15,13,55.6,120,119,103.1,6,-14,0.124,-2,-13,0.044,0.121,24,36,0.033,34
60,T. Chandler,M. Ellis,R. Jefferson,D. Nowitzki,R. Rondo,DAL,2014-15,14,121.4,248,244,97.3,7,-13,0.061,-1,-19,0.126,0.062,21,23,0.063,34
61,M. Dellavedova,L. James,T. Mozgov,I. Shumpert,T. Thompson,CLE,2014-15,11,40.1,74,74,88.5,11,5,0.125,8,12,0.259,0.178,4,4,0.125,34
62,T. Duncan,M. Ginóbili,D. Green,K. Leonard,T. Parker,SAS,2014-15,13,21.6,49,53,113.4,10,-3,0.32,2,1,0.3,0.351,11,12,0.144,33
63,C. Anthony,T. Hardaway,P. Prigioni,J. Smith,A. Stoudemire,NYK,2014-15,7,17.6,36,32,93,10,2,0.283,9,8,0.692,0.42,4,5,0.067,33
64,K. Irving,K. Love,T. Mozgov,I. Shumpert,J. Smith,CLE,2014-15,20,64.4,132,131,98,11,-1,0.101,8,10,0.154,0.136,3,5,-0.029,33
65,M. Dellavedova,L. James,I. Shumpert,J. Smith,T. Thompson,CLE,2014-15,8,34.9,64,69,91.6,12,4,0.193,9,12,0.249,0.274,0,2,-0.09,33
66,T. Ariza,C. Brewer,D. Howard,P. Prigioni,J. Smith,HOU,2014-15,7,41.4,81,80,93.4,16,12,0.146,1,5,-0.027,0.147,0,4,-0.171,33
67,A. Anderson,J. Johnson,B. Lopez,M. Teletovic,D. Williams,BRK,2014-15,9,38.6,73,75,92,12,7,0.146,0,1,-0.012,0.143,8,9,0.037,32
68,A. Aminu,J. Barea,T. Chandler,M. Ellis,C. Parsons,DAL,2014-15,17,49.2,97,104,98,13,10,0.1,3,-4,0.178,0.112,3,1,0.104,32
69,N. Collison,K. Durant,R. Jackson,A. Morrow,K. Perkins,OKC,2014-15,8,27.6,61,55,100.7,11,6,0.159,6,4,0.352,0.214,4,1,0.333,32
70,H. Barnes,S. Curry,D. Green,A. Iguodala,S. Livingston,GSW,2014-15,4,20.7,41,37,90.4,13,12,0.207,8,8,0.313,0.291,-2,0,-0.2,32
71,K. Caldwell-Pope,A. Drummond,R. Jackson,T. Prince,A. Tolliver,DET,2014-15,12,44.3,87,83,92.1,18,7,0.195,2,-1,0.101,0.205,-6,-2,-0.241,32
72,T. Ariza,T. Black,J. Harden,D. Motiejunas,J. Terry,HOU,2014-15,12,71.3,141,145,96.2,9,-4,0.086,11,12,0.151,0.131,2,-1,0.095,31
73,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,K. Singler,DET,2014-15,24,254,500,498,94.3,3,5,0.002,19,22,0.106,0.022,6,21,-0.105,31
74,K. Martin,N. Pekovic,R. Rubio,A. Wiggins,T. Young,MIN,2014-15,8,124.9,251,245,95.3,8,6,0.024,-4,-13,0.025,0.014,19,23,0.004,31
75,J. Butler,M. Dunleavy,P. Gasol,J. Noah,D. Rose,CHI,2014-15,21,353.1,693,693,94.2,-2,-36,0.023,1,15,-0.032,0.026,34,41,0.009,31
76,M. Bonner,T. Duncan,D. Green,K. Leonard,T. Parker,SAS,2014-15,21,141,276,276,94,9,-7,0.049,12,21,0.052,0.075,1,3,-0.037,31
77,M. Carter-Williams,R. Covington,L. Mbah a Moute,K. McDaniels,N. Noel,PHI,2014-15,19,151.5,286,295,92,12,3,0.041,0,3,-0.012,0.04,7,16,-0.066,31
78,L. Barbosa,A. Iguodala,D. Lee,S. Livingston,M. Speights,GSW,2014-15,13,70.6,140,142,95.9,19,2,0.148,-5,-20,0.119,0.127,-2,-6,0.106,31
79,G. Hill,S. Hill,I. Mahinmi,C. Miles,D. West,IND,2014-15,11,56,110,110,94.2,10,-4,0.132,5,12,0.033,0.162,6,7,0.022,31
80,O. Casspi,D. Cousins,B. McLemore,R. Sessions,J. Thompson,SAC,2014-15,4,65.9,128,128,93.2,12,-16,0.163,-2,-18,0.161,0.161,8,8,0.104,30
81,M. Dunleavy,P. Gasol,J. Noah,D. Rose,T. Snell,CHI,2014-15,5,37.8,71,69,89,8,2,0.104,6,3,0.315,0.147,7,6,0.275,29
82,C. Butler,K. Caldwell-Pope,A. Drummond,B. Jennings,G. Monroe,DET,2014-15,9,43.6,84,84,92.6,13,28,0.001,4,10,-0.027,0.009,-1,-1,-0.009,29
83,E. Fournier,C. Frye,T. Harris,V. Oladipo,K. O'Quinn,ORL,2014-15,13,82.3,155,151,89.2,15,7,0.084,6,5,0.101,0.103,-7,-11,0.047,29
84,J. Bayless,J. Dudley,O. Mayo,K. Middleton,Z. Pachulia,MIL,2014-15,9,33.9,70,69,98.4,10,7,0.117,6,-6,0.379,0.158,3,5,-0.068,29
85,C. Brewer,J. Dorsey,J. Harden,J. Smith,J. Terry,HOU,2014-15,11,26.2,62,61,112.7,8,-6,0.208,3,1,0.192,0.243,10,12,0.165,29
86,D. Augustin,N. Collison,M. McGary,A. Morrow,D. Waiters,OKC,2014-15,9,62.4,130,126,98.4,15,29,0.038,4,3,0.078,0.041,-5,-12,0.111,29
87,A. Afflalo,S. Blake,M. Leonard,R. Lopez,C. McCollum,POR,2014-15,3,26.3,48,49,88.5,11,6,0.182,6,9,0.134,0.24,1,-5,0.545,29
88,T. Ariza,P. Beverley,J. Harden,D. Howard,K. Papanikolaou,HOU,2014-15,4,28.7,52,52,86.9,11,6,0.169,11,6,0.432,0.27,-5,-9,0.267,28
89,T. Booker,T. Burke,D. Favors,G. Hayward,R. Hood,UTA,2014-15,19,52.6,96,104,91.3,10,-11,0.178,-3,-18,0.171,0.166,11,10,0.114,28
90,M. Dellavedova,K. Irving,L. James,K. Love,T. Thompson,CLE,2014-15,11,52.1,91,91,83.9,5,9,0.006,-2,5,-0.125,-0.016,20,24,-0.121,28
91,K. Irving,L. James,K. Love,T. Thompson,D. Waiters,CLE,2014-15,21,61.8,118,119,92,8,-2,0.082,-2,-2,-0.061,0.074,14,19,-0.041,28
92,J. Bayless,J. Dudley,J. Henson,O. Mayo,K. Middleton,MIL,2014-15,20,73.4,151,145,96.8,13,-16,0.166,7,12,0.071,0.203,-5,-14,0.146,28
93,C. Brewer,J. Harden,D. Motiejunas,J. Smith,J. Terry,HOU,2014-15,21,50.3,105,105,100.1,10,3,0.103,6,10,0.091,0.137,2,6,-0.081,28
94,M. Carter-Williams,E. Ilyasova,O. Mayo,K. Middleton,Z. Pachulia,MIL,2014-15,7,37.4,81,80,103.3,14,6,0.169,1,-6,0.219,0.174,-1,-1,-0.013,28
95,D. Dedmon,M. Harkless,T. Harris,V. Oladipo,E. Payton,ORL,2014-15,3,27.3,49,46,83.4,9,1,0.189,1,1,0.064,0.199,9,13,0.132,28
96,T. Chandler,M. Ellis,D. Harris,D. Nowitzki,C. Parsons,DAL,2014-15,32,137.7,277,271,95.5,17,18,0.035,-5,5,-0.095,0.02,-2,-5,0.026,27
97,E. Brand,D. Carroll,K. Korver,P. Millsap,J. Teague,ATL,2014-15,10,29.6,60,56,94,10,2,0.17,4,-2,0.278,0.205,3,5,-0.044,27
98,A. Brooks,K. Hinrich,N. Mirotic,J. Noah,T. Snell,CHI,2014-15,10,34.3,65,61,88.2,12,7,0.154,4,3,0.207,0.184,-1,2,-0.275,27
99,J. Crawford,G. Davis,D. Jordan,C. Paul,J. Redick,LAC,2014-15,6,21.1,44,43,98.8,12,-10,0.433,6,-3,0.784,0.525,-3,6,-0.45,27
100,D. Augustin,A. Drummond,J. Meeks,K. Singler,A. Tolliver,DET,2014-15,9,25.3,51,53,98.7,9,2,0.168,7,6,0.363,0.24,2,-1,0.375,27
1,M. Barnes,B. Griffin,D. Jordan,C. Paul,J. Redick,LAC,2014-15,60,1213.6,2397,2395,94.8,156,31,0.066,61,66,0.058,0.079,78,153,-0.056,451
2,H. Barnes,A. Bogut,S. Curry,D. Green,K. Thompson,GSW,2014-15,58,810.5,1668,1664,98.7,127,24,0.078,135,260,0.07,0.122,-60,-82,0.014,329
3,K. Irving,L. James,K. Love,T. Mozgov,J. Smith,CLE,2014-15,33,479.2,960,955,95.9,51,-8,0.064,50,121,0.018,0.093,51,58,0.05,203
4,D. Carroll,A. Horford,K. Korver,P. Millsap,J. Teague,ATL,2014-15,57,913.6,1816,1793,94.8,44,-25,0.035,58,50,0.088,0.054,23,10,0.043,169
5,D. Collison,D. Cousins,R. Gay,B. McLemore,J. Thompson,SAC,2014-15,30,425.6,852,850,96,53,13,0.064,1,-49,0.11,0.064,34,32,0.053,141
6,L. Aldridge,N. Batum,D. Lillard,R. Lopez,W. Matthews,POR,2014-15,32,628.4,1223,1234,93.8,21,-17,0.025,33,75,0.028,0.041,59,47,0.085,134
7,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,SAS,2014-15,29,265,520,527,94.8,47,-15,0.114,3,-12,0.091,0.118,13,10,0.053,110
8,A. Bogut,S. Curry,D. Green,A. Iguodala,K. Thompson,GSW,2014-15,50,180.1,373,375,99.7,35,32,0.062,34,58,0.122,0.109,-4,-11,0.058,100
9,S. Curry,D. Green,A. Iguodala,M. Speights,K. Thompson,GSW,2014-15,43,126.4,273,257,100.6,25,11,0.083,17,35,0.081,0.117,17,18,0.051,84
10,T. Hansbrough,J. Johnson,P. Patterson,G. Vázquez,L. Williams,TOR,2014-15,39,227.9,429,429,90.3,24,16,0.044,14,34,0.017,0.06,15,8,0.079,77
11,H. Barnes,S. Curry,D. Green,M. Speights,K. Thompson,GSW,2014-15,35,200.5,427,434,103,34,27,0.055,24,22,0.137,0.083,-17,-28,0.063,75
12,T. Ariza,P. Beverley,J. Harden,D. Howard,D. Motiejunas,HOU,2014-15,25,360.1,713,718,95.4,15,-13,0.034,38,68,0.068,0.067,7,27,-0.084,75
13,S. Adams,K. Durant,S. Ibaka,A. Roberson,R. Westbrook,OKC,2014-15,23,248.5,492,494,95.2,21,10,0.038,-4,-2,-0.03,0.032,35,40,0.027,73
14,K. Irving,L. James,K. Love,S. Marion,T. Thompson,CLE,2014-15,26,110.6,216,214,93.3,17,19,0.041,6,-2,0.145,0.053,29,30,0.097,69
15,A. Horford,K. Korver,D. Schröder,M. Scott,T. Sefolosha,ATL,2014-15,23,78,150,147,91.4,25,5,0.168,14,-2,0.294,0.217,2,0,0.077,66
16,B. Beal,M. Gortat,N. HilÃ¡rio,P. Pierce,J. Wall,WAS,2014-15,40,594.8,1172,1168,94.4,43,1,0.042,-9,-47,0.035,0.037,-13,0,-0.057,64
17,B. Diaw,T. Duncan,D. Green,K. Leonard,T. Parker,SAS,2014-15,44,263.6,510,508,92.7,12,-19,0.045,10,3,0.084,0.058,28,32,0.034,62
18,P. Anti?,K. Korver,P. Millsap,T. Sefolosha,J. Teague,ATL,2014-15,15,64.1,135,123,96.5,19,18,0.095,4,12,-0.011,0.105,17,19,0.119,59
19,G. Antetokounmpo,M. Carter-Williams,E. Ilyasova,K. Middleton,Z. Pachulia,MIL,2014-15,24,343.2,676,680,94.8,33,45,0.021,-18,-71,0.078,0.001,10,7,0.032,58
20,T. Chandler,M. Ellis,J. Nelson,D. Nowitzki,C. Parsons,DAL,2014-15,21,253.8,500,498,94.4,10,9,0.012,0,17,-0.049,0.011,36,30,0.149,56
21,T. Allen,M. Conley,M. Gasol,C. Lee,Z. Randolph,MEM,2014-15,43,459.2,882,888,92.5,4,-39,0.03,-33,-98,0.061,0.011,79,82,0.074,54
22,V. Carter,M. Conley,M. Gasol,C. Lee,Z. Randolph,MEM,2014-15,18,68.4,141,121,91.9,20,23,0.092,1,-6,0.105,0.086,11,10,0.173,52
23,M. Barnes,J. Crawford,B. Griffin,D. Jordan,C. Paul,LAC,2014-15,44,224.7,433,441,93.3,17,-3,0.048,-6,-29,0.039,0.041,24,35,-0.007,52
24,J. Crawford,B. Griffin,D. Jordan,C. Paul,J. Redick,LAC,2014-15,44,243.4,477,473,93.7,0,-15,0.018,3,0,0.026,0.024,48,50,0.057,51
25,E. Bledsoe,G. Dragi?,A. Len,M. Morris,P. Tucker,PHO,2014-15,35,391.2,782,782,95.9,34,-17,0.06,-15,-25,-0.038,0.05,-2,-18,0.076,51
26,C. Butler,K. Caldwell-Pope,A. Drummond,R. Jackson,A. Tolliver,DET,2014-15,18,172.1,320,316,88.7,19,12,0.043,28,46,0.086,0.088,-15,-12,-0.113,51
27,T. Burke,D. Favors,R. Gobert,G. Hayward,J. Ingles,UTA,2014-15,26,127,254,241,93.5,26,-2,0.131,-3,-6,-0.022,0.124,1,4,-0.033,50
28,D. Carroll,A. Horford,K. Korver,M. Muscala,J. Teague,ATL,2014-15,6,54.2,109,110,97,22,9,0.184,6,0,0.2,0.21,0,0,0,50
29,A. Ajinça,D. Cunningham,A. Davis,T. Evans,E. Gordon,NOP,2014-15,20,209.6,393,389,89.6,18,8,0.04,-1,-28,0.151,0.038,13,18,-0.004,48
30,W. Chandler,K. Faried,R. Foye,D. Gallinari,T. Lawson,DEN,2014-15,16,266.5,538,535,96.6,4,21,-0.014,20,35,0.036,0.005,20,13,0.088,48
31,M. Barnes,S. Hawes,D. Jordan,C. Paul,J. Redick,LAC,2014-15,17,197.9,383,390,93.8,28,4,0.076,18,25,0.071,0.101,-27,-30,-0.058,47
32,B. Beal,N. HilÃ¡rio,P. Pierce,K. Séraphin,J. Wall,WAS,2014-15,11,29.9,63,59,98.1,20,9,0.334,1,-8,0.278,0.335,4,2,0.12,45
33,M. Gortat,N. HilÃ¡rio,P. Pierce,G. Temple,J. Wall,WAS,2014-15,20,241.5,481,472,94.7,8,-8,0.028,-14,-27,-0.046,0.012,42,49,0.094,44
34,T. Allen,M. Conley,M. Gasol,J. Green,Z. Randolph,MEM,2014-15,22,108.5,197,198,87.4,16,-12,0.124,-7,-33,0.2,0.107,19,24,0.011,44
35,C. Brewer,J. Harden,T. Jones,J. Smith,J. Terry,HOU,2014-15,21,76.8,168,163,103.5,9,-18,0.113,8,-1,0.17,0.145,18,17,0.144,44
36,G. Henderson,A. Jefferson,M. Kidd-Gilchrist,M. Williams,M. Williams,CHO,2014-15,12,116.9,229,225,93.2,25,10,0.104,-5,-11,-0.018,0.089,-1,1,-0.036,44
37,A. Aminu,T. Chandler,M. Ellis,D. Harris,C. Parsons,DAL,2014-15,26,76.9,164,162,101.8,13,9,0.064,8,18,0.025,0.089,8,11,0.009,42
38,R. Butler,M. Gortat,K. Humphries,O. Porter,J. Wall,WAS,2014-15,17,40.4,85,82,99.3,18,7,0.188,0,-4,0.063,0.186,6,9,-0.014,42
39,G. Antetokounmpo,J. Dudley,B. Knight,K. Middleton,Z. Pachulia,MIL,2014-15,16,68.7,137,132,94,15,5,0.114,5,-2,0.185,0.134,6,10,-0.083,41
40,H. Barnes,S. Curry,D. Green,A. Iguodala,K. Thompson,GSW,2014-15,37,102,225,236,108.5,8,-27,0.1,10,-2,0.143,0.133,13,15,0.019,39
41,H. Barnes,A. Bogut,S. Curry,A. Iguodala,K. Thompson,GSW,2014-15,14,38.9,84,79,100.7,14,4,0.17,5,2,0.214,0.201,6,6,0.034,39
42,A. Brooks,J. Butler,P. Gasol,J. Noah,D. Rose,CHI,2014-15,10,53.6,115,110,100.7,12,9,0.087,6,11,0.099,0.115,9,12,-0.043,39
43,B. Bass,K. Olynyk,M. Smart,M. Thornton,E. Turner,BOS,2014-15,11,42,86,88,99.4,18,15,0.16,5,7,0.142,0.186,-3,-10,0.183,38
44,A. Aminu,J. Barea,D. Harris,D. Nowitzki,B. Wright,DAL,2014-15,16,77.2,147,147,91.4,23,16,0.109,-7,-4,-0.144,0.078,-1,-9,0.185,38
45,B. Biyombo,G. Henderson,M. Kidd-Gilchrist,K. Walker,M. Williams,CHO,2014-15,14,57,113,107,92.6,15,5,0.13,1,-14,0.245,0.133,7,17,-0.178,38
46,R. Hibbert,G. Hill,C. Miles,R. Stuckey,D. West,IND,2014-15,22,122,241,237,94,15,-10,0.092,2,-5,0.08,0.098,6,5,0.035,38
47,T. Booker,T. Burke,D. Favors,R. Hood,E. Millsap,UTA,2014-15,9,32.1,60,59,89.1,15,13,0.208,8,11,0.329,0.277,0,-4,0.188,38
48,M. Conley,M. Gasol,C. Lee,Q. Pondexter,Z. Randolph,MEM,2014-15,10,44.1,89,84,94.2,14,-2,0.194,0,-7,0.19,0.196,9,8,0.136,37
49,A. Ajinça,A. Davis,T. Evans,E. Gordon,Q. Pondexter,NOP,2014-15,25,345.6,652,655,90.8,13,-3,0.025,21,18,0.102,0.043,-10,8,-0.119,37
50,A. Brooks,M. Dunleavy,P. Gasol,N. Mirotic,T. Snell,CHI,2014-15,15,66.2,131,122,91.7,13,-3,0.123,4,0,0.098,0.142,7,2,0.195,37
51,E. Bledsoe,G. Dragi?,A. Len,M. Morris,I. Thomas,PHO,2014-15,10,32.3,74,72,108.5,14,6,0.185,0,0,0,0.181,8,9,0.056,36
52,J. Butler,M. Dunleavy,P. Gasol,K. Hinrich,N. Mirotic,CHI,2014-15,14,47.1,91,94,94.3,8,-4,0.122,8,6,0.33,0.174,12,14,0.038,36
